,Drug_id,Not_indicated_for
0,DB00275,C0740394
1,DB00275,C0018099
2,DB00275,C0002994
3,DB00275,C0035455
4,DB00188,C0035258
5,DB00188,C0740394
6,DB00188,C0024115
7,DB00188,C0025289
8,DB00188,C0019348
9,DB00188,C0036508
10,DB00188,C0033860
11,DB00188,C0004245
12,DB00188,C0004238
13,DB00188,C0002726
14,DB00188,C0020550
15,DB00188,C0018099
16,DB00188,C0006849
17,DB00188,C0017168
18,DB00188,C0021141
19,DB00188,C0007134
20,DB00188,C0006840
21,DB00188,C0020542
22,DB00188,C0002994
23,DB00188,C0024117
24,DB00188,C0026764
25,DB00188,C0014544
26,DB00188,C0020538
27,DB00603,C0019829
28,DB00603,C0162565
29,DB00603,C0011644
30,DB00603,C0020550
31,DB00603,C0002994
32,DB00603,C0002453
33,DB00603,C0010692
34,DB00603,C0040147
35,DB01030,C0024115
36,DB01030,C0002994
37,DB01030,C0035455
38,DB00712,C0021390
39,DB00712,C0740394
40,DB00712,C0024115
41,DB00712,C0025289
42,DB00712,C0019348
43,DB00712,C0036508
44,DB00712,C0030920
45,DB00712,C0002994
46,DB00712,C0010692
47,DB00712,C0035455
48,DB00712,C0042998
49,DB00712,C0022568
50,DB00712,C0020538
51,DB00175,C0009443
52,DB00175,C0002994
53,DB00175,C0035455
54,DB00175,C0020538
55,DB01016,C0021141
56,DB01016,C0002994
57,DB01611,C0033860
58,DB01611,C0002994
59,DB00700,C0740394
60,DB00700,C0004238
61,DB00700,C0017168
62,DB00700,C0002994
63,DB00177,C0004238
64,DB00177,C0002994
65,DB00177,C0035455
66,DB00281,C0025289
67,DB00281,C0004245
68,DB00281,C0002994
69,DB00281,C0035455
70,DB00281,C0020538
71,DB00281,C0011616
72,DB00288,C0011616
73,DB01234,C0025289
74,DB01234,C0019348
75,DB01234,C0030920
76,DB01234,C0036341
77,DB01234,C0002994
78,DB01234,C0002453
79,DB01234,C0022568
80,DB01234,C0028840
81,DB01234,C0014544
82,DB01234,C0020538
83,DB01234,C0011616
84,DB00332,C0024115
85,DB00332,C0004238
86,DB00332,C0002994
87,DB00332,C0024117
88,DB00332,C0035455
89,DB00332,C0020538
90,DB00573,C0004238
91,DB00573,C0030920
92,DB00573,C0002994
93,DB00573,C0010692
94,DB00335,C0033860
95,DB00335,C0004245
