,drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
23,Goserelin,DB00014,Endometriosis,C0014175,,Approved,,
109,Cyclosporine,DB00091,Rheumatoid Arthritis,C0003873,,Approved,,
110,Cyclosporine,DB00091,Dry Eye Syndromes,C0013238,,Approved,,
111,Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,,Approved,,
151,L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,,Approved,,
162,Calcitriol,DB00136,Hypoparathyroidism,C0020626,,Approved,,
173,Glycine,DB00145,Rhinitis,C0035455,,Approved,,
174,Glycine,DB00145,Common Cold,C0009443,,Approved,,
185,Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,,Approved,,
193,Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,,Approved,,
199,Ergocalciferol,DB00153,Hypoparathyroidism,C0020626,,Approved,,
225,Pravastatin,DB00175,Hyperlipoproteinemia Type III,C0020479,,Approved,,
230,Pravastatin,DB00175,Arteriosclerosis,C0003850,,Approved,,
231,Fluvoxamine,DB00176,Obsessive-Compulsive Disorder,C0028768,,Approved,,
232,Fluvoxamine,DB00176,"Phobia, Social",C0031572,,Approved,,
234,Valsartan,DB00177,Hypertensive disease,C0020538,,Approved,,
237,Ramipril,DB00178,Hypertensive disease,C0020538,,Approved,,
245,Nicotine,DB00184,Pellagra,C0030783,,Approved,,
246,Nicotine,DB00184,Nicotine Dependence,C0028043,,Approved,,
248,Lorazepam,DB00186,Absence Epilepsy,C0014553,,Approved,,
254,Esmolol,DB00187,Atrial Fibrillation,C0004238,,Approved,,
257,Bortezomib,DB00188,Multiple Myeloma,C0026764,,Approved,,
270,Betaxolol,DB00195,Hypertensive disease,C0020538,,Approved,,
271,Betaxolol,DB00195,Ocular Hypertension,C0028840,,Approved,,
276,Fluconazole,DB00196,Oral candidiasis,C0006849,,Approved,,
295,Erythromycin,DB00199,Legionnaires' Disease,C0023241,,Approved,,
299,Erythromycin,DB00199,Inclusion conjunctivitis,C0009770,,Approved,,
313,Erythromycin,DB00199,Meningitis,C0025289,,Approved,,
331,Caffeine,DB00201,Common Cold,C0009443,,Approved,,
346,Reserpine,DB00206,Hypertensive disease,C0020538,,Approved,,
358,Azithromycin,DB00207,Chancroids,C0007947,,Approved,,
379,Pantoprazole,DB00213,Zollinger-Ellison syndrome,C0043515,,Approved,,
380,Pantoprazole,DB00213,Gastroesophageal reflux disease,C0017168,,Approved,,
382,Pantoprazole,DB00213,Peptic Ulcer,C0030920,,Approved,,
383,Torasemide,DB00214,Hypertensive disease,C0020538,,Approved,,
387,Citalopram,DB00215,Generalized Anxiety Disorder,C0270549,,Approved,,
410,Moxifloxacin,DB00218,Rhinoscleroma,C0035468,,Approved,,
412,Moxifloxacin,DB00218,"Plague, Septicemic",C0152936,,Approved,,
414,Glimepiride,DB00222,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
416,Diflorasone,DB00223,Granuloma Annulare,C0085074,,Approved,,
423,Diflorasone,DB00223,Contact Dermatitis,C0011616,,Approved,,
425,Diflorasone,DB00223,Seborrheic dermatitis,C0036508,,Approved,,
426,Diflorasone,DB00223,"Dermatitis, Atopic",C0011615,,Approved,,
435,Lovastatin,DB00227,Arteriosclerosis,C0003850,,Approved,,
439,Pregabalin,DB00230,Generalized Anxiety Disorder,C0270549,,Approved,,
441,Methyclothiazide,DB00232,Hypertensive disease,C0020538,,Approved,,
453,Oxiconazole,DB00239,Tinea Versicolor,C0040262,,Approved,,
456,Alclometasone,DB00240,Contact Dermatitis,C0011616,,Approved,,
462,Alclometasone,DB00240,"Dermatitis, Atopic",C0011615,,Approved,,
463,Alclometasone,DB00240,Granuloma Annulare,C0085074,,Approved,,
464,Alclometasone,DB00240,Seborrheic dermatitis,C0036508,,Approved,,
469,Cladribine,DB00242,Hairy Cell Leukemia,C0023443,,Approved,,
476,Benzatropine,DB00245,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
480,Ziprasidone,DB00246,Schizophrenia,C0036341,,Approved,,
481,Ziprasidone,DB00246,Mixed bipolar I disorder,C0236780,,Approved,,
483,Cabergoline,DB00248,Hyperprolactinemia,C0020514,,Approved,,
